profile_id,profile_version,species,cultivar,treatment_id,treatment_label,optical_property,wavelength_nm_raw,value_percent_raw,value_fraction_raw
rex_green_butterhead_mature_leaf_optics_v1,0.2,Lactuca sativa,Rex,o_plus_fr,O+FR,absorptance,401.10557630713726,84.11222673655823,0.8411222673655823
rex_green_butterhead_mature_leaf_optics_v1,0.2,Lactuca sativa,Rex,o_plus_fr,O+FR,absorptance,402.536255483279,87.51780253039101,0.8751780253039101
rex_green_butterhead_mature_leaf_optics_v1,0.2,Lactuca sativa,Rex,o_plus_fr,O+FR,absorptance,407.3051860704182,86.41257259247377,0.8641257259247377
rex_green_butterhead_mature_leaf_optics_v1,0.2,Lactuca sativa,Rex,o_plus_fr,O+FR,absorptance,409.8221845893311,87.42739485628456,0.8742739485628457
rex_green_butterhead_mature_leaf_optics_v1,0.2,Lactuca sativa,Rex,o_plus_fr,O+FR,absorptance,416.3661541859826,88.20301193428075,0.8820301193428075
rex_green_butterhead_mature_leaf_optics_v1,0.2,Lactuca sativa,Rex,o_plus_fr,O+FR,absorptance,422.692633361558,88.76139438735235,0.8876139438735235
rex_green_butterhead_mature_leaf_optics_v1,0.2,Lactuca sativa,Rex,o_plus_fr,O+FR,absorptance,424.72480948348857,87.06914292910626,0.8706914292910626
rex_green_butterhead_mature_leaf_optics_v1,0.2,Lactuca sativa,Rex,o_plus_fr,O+FR,absorptance,427.7730736663844,87.91649730159202,0.8791649730159201
rex_green_butterhead_mature_leaf_optics_v1,0.2,Lactuca sativa,Rex,o_plus_fr,O+FR,absorptance,431.626732064828,89.56968248948266,0.8956968248948266
rex_green_butterhead_mature_leaf_optics_v1,0.2,Lactuca sativa,Rex,o_plus_fr,O+FR,absorptance,434.4880904171115,90.59209046179195,0.9059209046179195
rex_green_butterhead_mature_leaf_optics_v1,0.2,Lactuca sativa,Rex,o_plus_fr,O+FR,absorptance,440.2108071216785,91.35997766772896,0.9135997766772895
rex_green_butterhead_mature_leaf_optics_v1,0.2,Lactuca sativa,Rex,o_plus_fr,O+FR,absorptance,443.072165473962,90.76494257104164,0.9076494257104164
rex_green_butterhead_mature_leaf_optics_v1,0.2,Lactuca sativa,Rex,o_plus_fr,O+FR,absorptance,447.3642030023873,90.42572571277265,0.9042572571277264
rex_green_butterhead_mature_leaf_optics_v1,0.2,Lactuca sativa,Rex,o_plus_fr,O+FR,absorptance,450.8614187662894,89.40523992127237,0.8940523992127237
rex_green_butterhead_mature_leaf_optics_v1,0.2,Lactuca sativa,Rex,o_plus_fr,O+FR,absorptance,454.51759888309607,88.81044509718616,0.8881044509718616
rex_green_butterhead_mature_leaf_optics_v1,0.2,Lactuca sativa,Rex,o_plus_fr,O+FR,absorptance,458.33274335280737,88.21569832762017,0.8821569832762017
rex_green_butterhead_mature_leaf_optics_v1,0.2,Lactuca sativa,Rex,o_plus_fr,O+FR,absorptance,462.1478878225187,88.04659447094804,0.8804659447094804
rex_green_butterhead_mature_leaf_optics_v1,0.2,Lactuca sativa,Rex,o_plus_fr,O+FR,absorptance,466.91681840965794,88.47367901944864,0.8847367901944864
rex_green_butterhead_mature_leaf_optics_v1,0.2,Lactuca sativa,Rex,o_plus_fr,O+FR,absorptance,470.25506982065536,89.75161690305491,0.8975161690305491
rex_green_butterhead_mature_leaf_optics_v1,0.2,Lactuca sativa,Rex,o_plus_fr,O+FR,absorptance,477.2495013484595,89.0159502529288,0.890159502529288
rex_green_butterhead_mature_leaf_optics_v1,0.2,Lactuca sativa,Rex,o_plus_fr,O+FR,absorptance,482.6542893472172,89.07433649500231,0.8907433649500232
rex_green_butterhead_mature_leaf_optics_v1,0.2,Lactuca sativa,Rex,o_plus_fr,O+FR,absorptance,487.1052912285471,89.13243440995446,0.8913243440995445
rex_green_butterhead_mature_leaf_optics_v1,0.2,Lactuca sativa,Rex,o_plus_fr,O+FR,absorptance,490.2845782866399,88.73612878165804,0.8873612878165804
rex_green_butterhead_mature_leaf_optics_v1,0.2,Lactuca sativa,Rex,o_plus_fr,O+FR,absorptance,495.53040193249296,87.71617158988023,0.8771617158988023
rex_green_butterhead_mature_leaf_optics_v1,0.2,Lactuca sativa,Rex,o_plus_fr,O+FR,absorptance,499.3455464022044,87.03629623773548,0.8703629623773549
rex_green_butterhead_mature_leaf_optics_v1,0.2,Lactuca sativa,Rex,o_plus_fr,O+FR,absorptance,502.68379781320175,85.6752480613999,0.856752480613999
rex_green_butterhead_mature_leaf_optics_v1,0.2,Lactuca sativa,Rex,o_plus_fr,O+FR,absorptance,504.5913700480575,84.48402455953983,0.8448402455953983
rex_green_butterhead_mature_leaf_optics_v1,0.2,Lactuca sativa,Rex,o_plus_fr,O+FR,absorptance,507.9296214590549,82.78246205288917,0.8278246205288917
rex_green_butterhead_mature_leaf_optics_v1,0.2,Lactuca sativa,Rex,o_plus_fr,O+FR,absorptance,509.83719369391054,81.42098138587157,0.8142098138587157
rex_green_butterhead_mature_leaf_optics_v1,0.2,Lactuca sativa,Rex,o_plus_fr,O+FR,absorptance,514.6061242810497,77.25112247511863,0.7725112247511864
rex_green_butterhead_mature_leaf_optics_v1,0.2,Lactuca sativa,Rex,o_plus_fr,O+FR,absorptance,516.5136965159054,75.46399889520718,0.7546399889520718
rex_green_butterhead_mature_leaf_optics_v1,0.2,Lactuca sativa,Rex,o_plus_fr,O+FR,absorptance,518.4212687507611,73.5066181501382,0.7350661815013819
rex_green_butterhead_mature_leaf_optics_v1,0.2,Lactuca sativa,Rex,o_plus_fr,O+FR,absorptance,519.8519479269028,72.23012190213868,0.7223012190213868
rex_green_butterhead_mature_leaf_optics_v1,0.2,Lactuca sativa,Rex,o_plus_fr,O+FR,absorptance,521.2826271030445,70.27259699350901,0.7027259699350901
rex_green_butterhead_mature_leaf_optics_v1,0.2,Lactuca sativa,Rex,o_plus_fr,O+FR,absorptance,523.1901993379003,68.14495908328249,0.6814495908328249
rex_green_butterhead_mature_leaf_optics_v1,0.2,Lactuca sativa,Rex,o_plus_fr,O+FR,absorptance,524.620878514042,67.12384858301928,0.6712384858301929
rex_green_butterhead_mature_leaf_optics_v1,0.2,Lactuca sativa,Rex,o_plus_fr,O+FR,absorptance,526.0515576901837,65.42170942212593,0.6542170942212593
rex_green_butterhead_mature_leaf_optics_v1,0.2,Lactuca sativa,Rex,o_plus_fr,O+FR,absorptance,527.4822368663255,46.52359658032118,0.4652359658032118
rex_green_butterhead_mature_leaf_optics_v1,0.2,Lactuca sativa,Rex,o_plus_fr,O+FR,absorptance,528.9129160424673,62.52820259581183,0.6252820259581182
rex_green_butterhead_mature_leaf_optics_v1,0.2,Lactuca sativa,Rex,o_plus_fr,O+FR,absorptance,529.0718803953719,48.05639161194128,0.4805639161194128
rex_green_butterhead_mature_leaf_optics_v1,0.2,Lactuca sativa,Rex,o_plus_fr,O+FR,absorptance,529.3898091011812,44.48108725267342,0.4448108725267342
