wavelength_nm,relative_spd
380,0.0037219382379940088
381,0.0037153808128986454
382,0.0037055368703260132
383,0.003692406410276109
384,0.003675989432748928
385,0.0036595568453625608
386,0.003643124257976186
387,0.0036266916705898038
388,0.0036102590832034153
389,0.0035938264958170272
390,0.0035773939084306388
391,0.0035609613210442564
392,0.0035445287336578813
393,0.003528096146271515
394,0.003511663558885156
395,0.0034952309714987966
396,0.0034787983841124315
397,0.003462365796726059
398,0.0034593636090050803
399,0.0035070103072949842
400,0.003605305891595779
401,0.0037542503619074625
402,0.003986711680549407
403,0.004319702593050437
404,0.004716004613065068
405,0.0051756177405932954
406,0.00588454409085172
407,0.00686449579485609
408,0.008085029707412178
409,0.009550794341280878
410,0.011428568182507379
411,0.01353234911587508
412,0.01580755704804886
413,0.01825419197902872
414,0.02136095388464211
415,0.024976883197220724
416,0.02910197991676454
417,0.03409877014159714
418,0.04017193774116456
419,0.04689660707883494
420,0.054384175262044296
421,0.06270466234615663
422,0.07176002503770408
423,0.08188700237736302
424,0.09358540050781998
425,0.10674715336332675
426,0.1211937438642607
427,0.1380145353058852
428,0.1604786297310142
429,0.18075640832458884
430,0.20364610324944973
431,0.2286019545564669
432,0.2542760459471218
433,0.27943758350793163
434,0.31000760552027073
435,0.34482133733203923
436,0.38186452488768163
437,0.4211263405109506
438,0.4673788682887661
439,0.518237844918008
440,0.5747817991917629
441,0.6401291410846279
442,0.7104009008695282
443,0.7761966890889886
444,0.8450457490579635
445,0.9020634211634425
446,0.9471869639364896
447,0.97936074393848
448,1.0
449,0.9962608406027308
450,0.976229726781765
451,0.9391706290958252
452,0.8902257550736564
453,0.8286438335385885
454,0.7698338514198944
455,0.7073474854320406
456,0.6513196223290706
457,0.6005391573434897
458,0.5595469115550858
459,0.5210660335107802
460,0.49444171219999894
461,0.4692494372494256
462,0.44753946095148245
463,0.4272212205778355
464,0.41096286369238755
465,0.39149176658763263
466,0.37185514635972733
467,0.3524551162171912
468,0.3320464647253085
469,0.3076443631161766
470,0.2881539963566391
471,0.2711574176903214
472,0.25595726019682774
473,0.24334663614675742
474,0.23465407138211092
475,0.2284019409430288
476,0.2245994700735628
477,0.22250005847226278
478,0.22160596663822613
479,0.2222319009765284
480,0.22339312179782422
481,0.2250896291021136
482,0.22746835762504639
483,0.2307698321421464
484,0.23457457917966884
485,0.238967003284583
486,0.2446453512480515
487,0.25146268833442453
488,0.2593379652149508
489,0.2684049805898509
490,0.27868061820651846
491,0.28949196519445514
492,0.30069817964513973
493,0.3120093188305376
494,0.32322929002111594
495,0.3343132452265518
496,0.3454914073599679
497,0.35687446920674704
498,0.36854139467628216
499,0.38159257467422864
500,0.39399110462423503
501,0.40548142769251483
502,0.4165244525033621
503,0.42706271025544995
504,0.43574124706169937
505,0.44454052719442116
506,0.4535139949710314
507,0.4622352899030048
508,0.4704720072203388
509,0.4785320330453655
510,0.4861961535267199
511,0.49325671793329917
512,0.4997093272524728
513,0.505925135803305
514,0.5121434151896774
515,0.5185833792629553
516,0.5246330377289186
517,0.5302387499467103
518,0.5352549255312162
519,0.5394592314211807
520,0.5429238864813791
521,0.5464150874197183
522,0.5499864748770552
523,0.5534746792709583
524,0.556771993586595
525,0.55980619895919
526,0.562577295388743
527,0.5650497012785899
528,0.5673394171275589
529,0.5695461822962606
530,0.5716699967846952
531,0.5737022937748839
532,0.5756777650856643
533,0.5776437798006387
534,0.5795983133246897
535,0.5815307280314321
536,0.5834495907388445
537,0.5853557912247541
538,0.5872493294891611
539,0.5891322301271829
540,0.5910151307652047
541,0.5928980314032265
542,0.5947204349674189
543,0.5964522549470149
544,0.5980934913420144
545,0.5996441441524176
