wavelength_nm,relative_spd
380,0.0
381,0.004293996754287
382,0.005871725421821
383,0.007449454089356
384,0.009027182756891
385,0.010604911424426
386,0.011096463240665
387,0.01146067974572
388,0.012087206789239
389,0.012995400826255
390,0.013903594863271
391,0.013858961421551
392,0.013669158645432
393,0.013741834181096
394,0.014079118958365
395,0.014419096256322
396,0.014839787681331
397,0.015260479106341
398,0.015525719988428
399,0.015672047440605
400,0.015855650810694
401,0.016371455079619
402,0.016887259348544
403,0.017678416069846
404,0.018627715415845
405,0.019577014761845
406,0.020293983471763
407,0.020899779123777
408,0.021271471616646
409,0.020765976781852
410,0.020260481947058
411,0.020042344321963
412,0.020113417655878
413,0.020253332525986
414,0.021004743766896
415,0.021756155007806
416,0.02219974556187
417,0.022408262181223
418,0.022647907724326
419,0.023163711993251
420,0.023679516262175
421,0.024420861373002
422,0.025291509713457
423,0.02609565135785
424,0.02657487376373
425,0.02705409616961
426,0.027708496013897
427,0.028436475088479
428,0.029257390759943
429,0.030375016110897
430,0.03149264146185
431,0.032177686574603
432,0.03268113662578
433,0.03344184452802
434,0.034782935627224
435,0.036124026726429
436,0.036667892576982
437,0.037061513423339
438,0.037340227377896
439,0.037428023849202
440,0.037515820320508
441,0.036653089401009
442,0.035696386582727
443,0.034739683764444
444,0.033782980946161
445,0.032826278127879
446,0.036215468465069
447,0.041195222706006
448,0.046367635931699
449,0.051841822932098
450,0.057006748822149
451,0.055934992458135
452,0.054863236094121
453,0.047942172350065
454,0.040722326673942
455,0.036577102068643
456,0.032950949611851
457,0.029896059642659
458,0.028047481435931
459,0.026198903229203
460,0.02768336959594
461,0.030753709313659
462,0.041444930352717
463,0.058294799594239
464,0.074792585920167
465,0.087219113852609
466,0.091464111675838
467,0.086429340642731
468,0.079677072462053
469,0.071114689212063
470,0.062287839677501
471,0.056684444754318
472,0.051478746773213
473,0.046797252828972
474,0.042451745577743
475,0.038140922505445
476,0.034036767533796
477,0.029932612562147
478,0.02630306198032
479,0.02139672388062
480,0.015431728330101
481,0.012130221715112
482,0.011800984947713
483,0.011481190896797
484,0.01251878555769
485,0.013738175857393
486,0.015055122926988
487,0.016372069996583
488,0.017689017066178
489,0.019673712383259
490,0.022979153632065
491,0.029506584690973
492,0.04468687251194
493,0.058672522114132
494,0.07574483129168
495,0.092120647959374
496,0.114538632630091
497,0.141288863126074
498,0.165481129930259
499,0.191041435894799
500,0.202887397814117
501,0.212232297799427
502,0.168309796986754
503,0.118846130441837
504,0.076594779503371
505,0.041864758540924
506,0.026313480742215
507,0.022837040616441
508,0.021347528068761
509,0.019988992934536
510,0.023010937453674
511,0.026032881972812
512,0.032316399554502
513,0.0434011914084
514,0.053970244879176
515,0.069676058079534
516,0.057332722700015
517,0.051080306107899
518,0.0388560108182
519,0.030681342469538
520,0.02456784997486
521,0.018454357480182
522,0.016794679579077
523,0.016328870522979
524,0.015235500750756
525,0.013667706620286
526,0.012099912489815
527,0.01078082371613
528,0.011329551661795
529,0.011878279607459
530,0.012332583649787
531,0.012736447417796
532,0.013159374610381
533,0.013665667594914
534,0.014171960579448
535,0.014722528577729
536,0.015290279092176
537,0.015817029875389
538,0.016223820192442
539,0.016630610509494
540,0.017855981871847
541,0.019300233824836
542,0.021307560241887
543,0.024493317915003
544,0.027679075588119
545,0.029842408874914
546,0.031924180874961
547,0.037876318727808
548,0.052360588025638
549,0.061135507801301
550,0.07113369714545
551,0.083543271127087
552,0.101593092699388
553,0.119689622510585
554,0.137819115102913
555,0.159853876705099
556,0.192864057754302
557,0.232583253489705
558,0.272528230997908
559,0.311844809446906
560,0.3575948487901
561,0.379965780246083
562,0.41096508606258
563,0.438138094513072
564,0.464787539301398
565,0.503981936398889
566,0.585682113708646
567,0.701718904496159
568,0.82491138255458
569,0.934136080682583
570,1.0
571,0.970863678646046
572,0.862174123143978
573,0.772659622851878
574,0.668521083598836
575,0.576923300196945
576,0.537775642945413
577,0.570199682363106
578,0.620182897592562
579,0.660046277238322
580,0.700034837222637
581,0.741722443959084
582,0.781232861085025
583,0.822148810254232
584,0.855415970434046
585,0.883389672484223
586,0.864963694721512
587,0.745788188366395
588,0.613560463834532
589,0.461852653289896
590,0.318521400670824
591,0.305786728442173
592,0.492058103766957
593,0.645521234278816
594,0.782239810842787
595,0.951720370166224
596,0.986224148226813
597,0.991608090457276
598,0.955711938084644
599,0.929387254244281
600,0.902519896097946
601,0.876818913717264
602,0.836165296371008
603,0.786522769939904
604,0.737440157468077
605,0.691690953991624
606,0.654028213292399
607,0.624627018061005
608,0.594705513283385
609,0.559725063857383
610,0.534045238838806
611,0.508770775215327
612,0.524017215667635
613,0.553909264343433
614,0.576573110655653
615,0.597083549700844
616,0.597049887141088
617,0.534911600200853
618,0.480655840644099
619,0.432900892297294
620,0.371019980413131
621,0.334768360616232
622,0.320641161794647
623,0.308122221032059
624,0.297023326388454
625,0.284873958577354
626,0.275415904622269
627,0.268107806482429
628,0.261106478702917
629,0.254225148613539
630,0.247983946393232
631,0.242145561287274
632,0.237515423021651
633,0.232512096926169
634,0.227181596882569
635,0.221756191848544
636,0.216123179766762
637,0.210617979405421
638,0.20585188524879
639,0.201015948094109
640,0.19601560704975
641,0.191320112646544
642,0.187826544725812
643,0.184332976805081
644,0.180965600357868
645,0.177643343743147
646,0.174099531125267
647,0.170215247641328
648,0.166340652635294
649,0.162918257275954
650,0.159495861916613
651,0.156650754132126
652,0.154213322588564
653,0.15184675748298
654,0.150302878856195
655,0.14875900022941
656,0.146857973433787
657,0.144768586256064
658,0.142470805462161
659,0.139978935026554
660,0.137487064590948
661,0.135153851863636
662,0.132881329940596
663,0.130607686897452
664,0.128330568680986
665,0.12605345046452
666,0.125360459570575
667,0.125049691316558
668,0.125356293344171
669,0.126171833960663
670,0.126987374577155
671,0.126137843359509
672,0.125018438350354
673,0.123952598484124
674,0.122968859927059
675,0.121985121369993
676,0.119458745732332
677,0.116928696881784
678,0.112586051142758
679,0.107983007575697
680,0.103379964008636
681,0.100357647322751
682,0.097338911984334
683,0.093943370735721
684,0.090216410528767
685,0.086587212342178
686,0.084333769578648
687,0.082080326815119
688,0.080568688143171
689,0.079550249076017
690,0.078174975671672
691,0.076502876551823
692,0.074830777431975
693,0.073375236180657
694,0.072018420182063
695,0.070661604183469
696,0.069886638624997
697,0.069426664144524
698,0.068966689664051
699,0.067811544890222
700,0.066395256247589
701,0.065004782866268
702,0.064245082806334
703,0.063485382746401
704,0.062588515482588
705,0.061655047253182
706,0.060727569173587
707,0.059849604460524
708,0.05897163974746
709,0.058189999869477
710,0.057462020794895
711,0.056763101856764
712,0.056199741165882
713,0.055636380474999
714,0.055052216890493
715,0.054459590709175
716,0.053868758040441
717,0.053283448231732
718,0.052698138423023
719,0.052198368729849
720,0.051722804510273
721,0.051199035556229
722,0.050569827511866
723,0.049940619467504
724,0.049297874058781
725,0.048652703019636
726,0.048052416452839
727,0.047737812430658
728,0.047423208408476
729,0.046873280513126
730,0.04620749060572
731,0.045620955301323
732,0.045342933142186
733,0.04506491098305
734,0.044608539279329
735,0.0440890768241
736,0.043597576860507
737,0.043180543621802
738,0.042763510383097
739,0.042313991489997
740,0.041856718201943
741,0.041477200036375
742,0.041247547229486
743,0.040988573460215
744,0.040519512682958
745,0.040050451905701
746,0.037980140553636
747,0.000566653335158
748,0.011046031833704
749,0.021525410332251
750,0.032004788830797
751,0.038663537348436
752,0.038396563650966
753,0.038129589953497
754,0.037862634781906
755,0.037595733509135
756,0.037314646628631
757,0.036786404526271
758,0.036258162423911
759,0.036996305085906
760,0.038619643922713
761,0.049941375421813
762,0.06340103555975
763,0.077855412366624
764,0.09279744053831
765,0.11071842737505
766,0.124279456148989
767,0.132536485934266
768,0.141771340687154
769,0.149469524500948
770,0.155250364090001
771,0.159484381240845
772,0.139097266794184
773,0.099994735112476
774,0.072946803951843
775,0.065255635447381
776,0.038099923394405
777,0.036769040376984
778,0.035438157359562
779,0.03410727434214
780,0.0
