wavelength_nm_raw,value_percent_raw,value_fraction_raw
401.58113055928106,2.794268750718345,0.02794268750718345
405.8695369222847,2.625715585465599,0.026257155854655993
410.63443288117753,2.584690923334591,0.025846909233345913
413.96986005240257,2.6281583849620063,0.026281583849620063
419.3700754724811,2.743017859322933,0.02743017859322933
423.1819922395954,3.083860236117076,0.030838602361170763
426.6762492761168,2.801836639354306,0.028018366393543062
430.4881660432312,2.859601662740161,0.02859601662740161
434.4589126756419,2.7617220397807927,0.027617220397807927
439.2238086345348,2.635774171627304,0.02635774171627304
443.0357254016491,2.63692372433151,0.026369237243315097
446.84764216876334,2.6380732770357014,0.026380732770357015
450.6595589358776,2.978915653829844,0.029789156538298438
453.99498610710265,3.1497679244910017,0.031497679244910017
457.3304132783276,3.4904666071971207,0.03490466607197121
463.0482884289991,4.086653378410816,0.04086653378410816
466.3837156002241,4.342428855094468,0.043424288550944684
470.5132920979312,4.173827791812371,0.04173827791812371
473.0545699426741,4.344440572326803,0.043444405723268034
479.2489346892348,4.601078213538585,0.046010782135385855
482.9020215910527,4.687103074235921,0.04687103074235921
487.3492578193527,4.858290631102449,0.048582906311024486
491.4788343170599,5.085997862591967,0.05085997862591966
495.2907510841742,5.483455710067773,0.05483455710067773
499.26149771658487,6.220654279662867,0.06220654279662867
502.5969248878099,6.957661257140615,0.06957661257140615
505.9323520590349,8.260822941434924,0.08260822941434924
509.2677792302599,9.620600096410882,0.09620600096410882
512.1267168055956,10.980233557298844,0.10980233557298844
514.5091647850421,12.339723324098756,0.12339723324098756
516.8916127644885,13.642597620217018,0.13642597620217017
519.2740607439349,15.22854926974358,0.1522854926974358
521.6565087233814,16.70126997790682,0.16701269977906819
524.0389567028278,18.117375215388392,0.18117375215388393
526.4214046822742,19.646711394233307,0.19646711394233307
529.5980019882029,21.232902533906568,0.21232902533906567
533.4099187553171,22.47959244160724,0.2247959244160724
537.3806653877278,23.59894543830353,0.2359894543830353
542.1455613466208,24.364691233386168,0.24364691233386168
546.4339677096243,24.748138907279568,0.24748138907279568
550.7223740726279,25.08912497816175,0.2508912497816175
555.3284401662243,25.20374496237598,0.2520374496237598
559.4580166639314,24.69545107500393,0.2469545107500393
563.1111035657493,23.98885934615805,0.2398885934615805
565.9700411410851,23.31033586250629,0.2331033586250629
569.7819579081994,22.08009892788442,0.2208009892788442
573.5938746753136,20.807400390251303,0.20807400390251302
577.4057914424279,19.534701852618184,0.19534701852618183
582.1706874013208,18.30475230617236,0.18304752306172362
585.5061145725458,17.56975704592699,0.17569757045926993
589.3180313396601,17.061367362496256,0.17061367362496255
592.6534585108851,16.609449455659146,0.16609449455659145
596.9418648738887,16.157818936998112,0.1615781893699811
600.753781641003,15.93250660697568,0.1593250660697568
604.8833581387102,15.48082819028528,0.15480828190285278
608.8541047711209,14.661101316134776,0.14661101316134775
612.8248514035316,14.067836324710896,0.14067836324710897
616.6367681706458,13.389600229235183,0.13389600229235182
620.766344668353,12.626536723795695,0.12626536723795695
626.1665600884317,12.260164697362526,0.12260164697362526
629.8196469902495,12.204650881355704,0.12204650881355704
633.7903936226602,11.979386449362607,0.11979386449362607
637.2846506591817,11.527516440554876,0.11527516440554876
641.2553972915923,10.467173816007303,0.10467173816007304
645.0673140587066,9.364321690419176,0.09364321690419176
648.7204009605246,8.643576093902865,0.08643576093902866
653.6441267847138,7.625982460542616,0.07625982460542616
656.9795539559389,6.947602670978895,0.06947602670978896
661.2679603189424,6.014740651523752,0.06014740651523752
665.2387069513532,5.421475660099873,0.054214756600998726
668.7329639878745,5.252683004700401,0.05252683004700401
671.7507314285067,5.253593067257896,0.05253593067257896
676.0391377915103,5.537963667458399,0.05537963667458399
679.8510545586246,6.275114339024157,0.06275114339024157
683.6629713257389,7.74826612945148,0.0774826612945148
686.0454193051853,9.079448160910571,0.0907944816091057
687.9513776887425,10.35387102759998,0.10353871027599981
689.3808464764104,11.882919818268832,0.11882919818268832
691.2868048599676,14.091497951205596,0.14091497951205598
692.239784051746,15.45055663574145,0.1545055663574145
693.8280827047104,17.31934614852959,0.1731934614852959
695.0987216270818,18.33880780503418,0.1833880780503418
695.5752112229711,19.78264600150449,0.1978264600150449
696.0517008188604,20.886791373884847,0.20886791373884847
697.0046800106389,22.2458500584207,0.222458500584207
697.9576592024175,23.435062330911578,0.23435062330911577
698.9106383941961,24.62427460340244,0.2462427460340244
700.4989370471603,26.606295057553893,0.2660629505755389
701.7695759695318,27.852218596785107,0.27852218596785105
702.7225551613103,29.466046899388417,0.29466046899388415
704.1520239489782,31.33478851414722,0.3133478851414722
705.1050031407568,33.118463228795505,0.331184632287955
707.010961524314,34.98734853764233,0.3498734853764233
