wavelength_nm,relative_spd
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.008230151119771
417,0.00992646312786
418,0.01162277513595
419,0.014610655790438
420,0.018002774191548
421,0.021845998613123
422,0.026154703877682
423,0.030662997736531
424,0.035870317585782
425,0.041077637435034
426,0.046668313289967
427,0.05227853735746
428,0.058438414431694
429,0.064822698341395
430,0.07210529697562
431,0.080368723060418
432,0.089254149356676
433,0.100110330348374
434,0.111278525032731
435,0.123239159382746
436,0.137305507987103
437,0.151295810688599
438,0.166338971518593
439,0.185577838573838
440,0.206925697737906
441,0.241063387224435
442,0.28632364375527
443,0.34580848798912
444,0.412870521436937
445,0.493964238304985
446,0.56863155326247
447,0.646613404772897
448,0.737515606061396
449,0.818826543716577
450,0.894053502159657
451,0.966776563749538
452,0.997424791904937
453,1.0
454,0.998223619378212
455,0.9826401672953
456,0.946084579250011
457,0.892091076373484
458,0.836204715008876
459,0.779755118266784
460,0.724238047231842
461,0.67319201523806
462,0.631633067797009
463,0.591801634947398
464,0.54868539876286
465,0.514292090435253
466,0.484855486558634
467,0.455446735820235
468,0.434307563347156
469,0.409460149991017
470,0.391902943371415
471,0.377040502762466
472,0.362354227338698
473,0.349404966873222
474,0.337743703498959
475,0.327083047737712
476,0.31973364767708
477,0.312618938025724
478,0.307091033420211
479,0.301563128814698
480,0.298072338005474
481,0.294871188036552
482,0.293363262506887
483,0.292936755485606
484,0.293333784509746
485,0.2953067416272
486,0.297514350713747
487,0.302630451800417
488,0.307746552887087
489,0.313202167973716
490,0.318791075892625
491,0.326155025524439
492,0.334578875556747
493,0.343014840696439
494,0.35146462856338
495,0.359664922383801
496,0.36732014355303
497,0.375320419957976
498,0.384859718928046
499,0.393936786226372
500,0.401647685868341
501,0.40935858551031
502,0.415340314819791
503,0.421329483635433
504,0.428424894674117
505,0.435520305712802
506,0.442557178406147
507,0.449579200919455
508,0.45614553824136
509,0.462170488038746
510,0.468193051940278
511,0.474181540111455
512,0.480170028282632
513,0.485790571559906
514,0.491344099662689
515,0.496555294958064
516,0.501513546118056
517,0.506407021663391
518,0.511152625598135
519,0.51588593769007
520,0.520273021575163
521,0.524660105460255
522,0.528787610203938
523,0.532835012364829
524,0.536791939899975
525,0.540656305722014
526,0.544314059428014
527,0.547258230317287
528,0.55020240120656
529,0.554225246660626
530,0.558298505889362
531,0.561560377405323
532,0.564449904589208
